sid,uzivatel_sid,verejny_cinnitel_sid,"fun_politicka_funkcia","fun_funkcne_obdobie_od","fun_funkcne_obdobie_do","fun_kandidoval_strana"
821,334,742,"bez verejnej funkcie","","","nekandidoval"
822,356,743,"bez verejnej funkcie","","","KDH"
823,356,744,"bez verejnej funkcie","","","KDH"
824,20,745,"poslanec miestneho zastupiteľstva mestskej časti Bratislava - Staré Mesto","2006","","OKS v rámci koalície SDKÚ-DS - OKS - DU - SZ"
825,20,745,"poslanec miestneho zastupiteľstva mestskej časti Bratislava - Staré Mesto","2002","2006","OKS v rámci koalície KDH - DU - OKS"
826,356,746,"bez verejnej funkcie","","","KDH"
827,84,747,"Bez verejnej funkcie","","","SaS"
828,319,748,"bez verejnej funkcie","","","SaS"
829,311,749,"simpatizant","","2009","SaS"
830,149,750,"poslanec  Mestské zastupiteľstva v Detve","2009","","nezávislý"
831,158,751,"bez verejnej funkcie","","","prebieha kandidátka za stranu SAS do VÚC"
832,19,752,"primátor","2006","","Smer - SD, KDH, SNS, SF, HZD"
833,19,752,"člen finančnej komisie VÚC ","2001","","SDĽ "
835,84,754,"Bez verejnej funkcie","","","SaS"
